Epoch,Train AUC,Test AUC
0,0.55197155,0.54449093
100,0.7756085,0.7609053
200,0.81320846,0.7980608
300,0.83369505,0.8184693
400,0.8470114,0.83188254
500,0.85650915,0.8414898
600,0.8636377,0.8486922
700,0.86913013,0.8542786
800,0.87346494,0.8586824
900,0.87697047,0.8623144
1000,0.8798222,0.86530167
