Epoch,Train AUC,Test AUC
0,0.55197155,0.54449093
100,0.7756085,0.7609053
200,0.81320846,0.7980608
300,0.83369505,0.8184693
400,0.8470114,0.83188254
500,0.85650915,0.8414898
600,0.8636377,0.8486922
700,0.86913013,0.8542786
800,0.87346494,0.8586824
900,0.87697047,0.8623144
1000,0.8798222,0.86530167
1100,0.88225967,0.8678705
1200,0.8843208,0.8700538
1300,0.8860828,0.8719323
1400,0.8876346,0.87360525
1500,0.8890022,0.87503666
1600,0.8902166,0.87633413
1700,0.89134276,0.87752885
1800,0.89233714,0.8785742
1900,0.8932331,0.8795268
2000,0.8940626,0.88040406
2100,0.8947886,0.88120496
2200,0.8954425,0.88193834
2300,0.8960608,0.8826137
2400,0.89662015,0.8832207
2500,0.8971427,0.8838128
2600,0.8976251,0.8843202
2700,0.89807755,0.88482696
2800,0.89848685,0.8852776
2900,0.8988785,0.8857217
3000,0.89922965,0.8861188
